"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Incline Bench Press (Dumbbell)",,"",0,"normal",20,9,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Incline Bench Press (Dumbbell)",,"",1,"normal",20,8,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Incline Bench Press (Dumbbell)",,"",2,"normal",20,8,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Leg Press (Machine)",,"",0,"normal",120,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Leg Press (Machine)",,"",1,"normal",120,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Leg Press (Machine)",,"",2,"normal",120,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lat Pulldown (Cable)",,"",0,"normal",28.5,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lat Pulldown (Cable)",,"",1,"normal",28.5,9,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lat Pulldown (Cable)",,"",2,"normal",28.5,8,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lying Leg Curl (Machine)",,"",0,"normal",48.5,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lying Leg Curl (Machine)",,"",1,"normal",48.5,9,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Lying Leg Curl (Machine)",,"",2,"normal",48.5,7,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Overhead Triceps Extension (Cable)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Overhead Triceps Extension (Cable)",,"",1,"normal",10,9,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Overhead Triceps Extension (Cable)",,"",2,"normal",10,8,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Shrug (Cable)",,"",0,"normal",31.5,12,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Shrug (Cable)",,"",1,"normal",31.5,11,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Shrug (Cable)",,"",2,"normal",31.5,10,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Seated Incline Curl (Dumbbell)",,"",0,"normal",8,12,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Seated Incline Curl (Dumbbell)",,"",1,"normal",8,11,,,
"Afternoon workout 💪","30 Aug 2026, 12:02","30 Aug 2026, 13:06","","Seated Incline Curl (Dumbbell)",,"",2,"normal",8,10,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,12,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,11,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,9,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Lat Pulldown (Cable)",,"",0,"normal",28.5,12,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Lat Pulldown (Cable)",,"",1,"normal",28.5,11,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Lat Pulldown (Cable)",,"",2,"normal",28.5,7,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Overhead Triceps Extension (Cable)",,"",0,"normal",10,10,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Overhead Triceps Extension (Cable)",,"",1,"normal",10,8,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Overhead Triceps Extension (Cable)",,"",2,"normal",10,7,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Shrug (Cable)",,"",0,"normal",28,10,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Shrug (Cable)",,"",1,"normal",28,10,,,
"Evening workout 🏋️","19 Aug 2026, 18:52","19 Aug 2026, 19:42","","Shrug (Cable)",,"",2,"normal",28,10,,,
